,2019,2020
Mercedes-Benz Sl,21.5,21.0
Mercedes-Benz Slc,27.0,27.0
Chevrolet Sonic,29.5,29.0
Chevrolet Spark,32.75,32.75
Audi Sq5,21.0,20.0
Hyundai Santa,21.375,23.5
Hyundai Sonata,32.833,38.6
Alfa Romeo Stelvio,22.667,22.667
Toyota Tacoma,19.5,19.667
Gmc Terrain,27.5,25.0
Nissan Titan,17.667,17.667
Acura Tlx,24.333,24.333
Ford Transit,22.0,21.2
Chevrolet Traverse,21.0,20.5
Chevrolet Trax,27.0,27.0
Audi Tt,25.0,25.0
Audi Tts,25.0,25.0
Toyota Tundra,15.2,14.5
Volkswagen Tiguan,24.5,24.0
Ford Transit,21.0,23.75
Hyundai Tucson,24.25,24.0
Lexus Ux,38.0,38.0
Volvo V60,26.0,26.0
Volvo V90,25.25,25.0
Nissan Versa,32.0,32.5
Hyundai Veloster,28.4,28.4
Subaru Wrx,21.0,21.0
Jeep Wrangler,20.833,21.0
Bmw X1,25.5,26.5
Bmw X2,25.333,26.667
Bmw X3,24.667,21.6
Bmw X4,24.0,20.0
Bmw X5,20.5,18.5
Bmw X6,18.75,18.6
Bmw X7,19.5,18.667
Volvo Xc40,26.5,26.0
Volvo Xc60,23.0,23.333
Volvo Xc90,23.0,23.0
Jaguar Xe,27.286,27.0
Jaguar Xf,27.286,24.857
Cadillac Xt4,25.0,25.0
Cadillac Xt5,21.5,22.0
Toyota Yaris,33.667,34.5
Bmw Z4,28.0,26.5
