,2019,2020
Kia Soul,21290.0,22044.0
Kia Sportage,22782.0,25029.0
Kia Stinger,3441.0,3495.0
Kia Telluride,21239.0,15982.0
Land Rover Defender,1300.0,0.0
Land Rover Discovery / Lr4,1200.0,1666.0
Land Rover Discovery Sport,1999.0,2171.0
Land Rover Range Rover,3000.0,4281.0
Land Rover Range Rover Evoque,1900.0,2959.0
Land Rover Range Rover Sport,3799.0,5752.0
Land Rover Range Rover Velar,2701.0,3687.0
Lexus Ct,0.0,0.0
Lexus Es,12775.0,13916.0
Lexus Gs,861.0,840.0
Lexus Gx,7261.0,6405.0
Lexus Is,3629.0,3538.0
Lexus Lc,327.0,260.0
Lexus Lfa,1.0,0.0
Lexus Ls,857.0,1251.0
Lexus Lx,1062.0,1024.0
Lexus Nx,13204.0,13198.0
Lexus Rc,1102.0,1253.0
Lexus Rx,29438.0,28109.0
Lexus Ux,4768.0,4022.0
Lincoln Aviator,6118.0,1900.0
Lincoln Continental,1297.0,1897.0
Lincoln Mkc,7044.0,6523.0
Lincoln Mks,0.0,0.0
Lincoln Mkt,23.0,625.0
Lincoln Mkx/Nautilus,5772.0,7962.0
Lincoln Mkz,3666.0,4685.0
Lincoln Navigator,3635.0,4345.0
Mazda 3,8941.0,11983.0
Mazda 6,3880.0,4210.0
Mazda Cx-3,2255.0,4996.0
Mazda Cx-30,10837.0,0.0
Mazda Cx-5,39205.0,39315.0
Mazda Cx-9,6961.0,6671.0
Mazda Mx-5 Miata,2332.0,2437.0
Mercedes-Benz A-Class,3930.0,7230.0
Mercedes-Benz Amg Gt,750.0,1010.0
Mercedes-Benz B-Class,0.0,2.0
Mercedes-Benz C-Class,7215.0,10837.0
Mercedes-Benz Cla-Class,2250.0,1350.0
Mercedes-Benz E / Cls-Class,6476.0,9165.0
Mercedes-Benz G-Class,1796.0,1248.0
Mercedes-Benz Gl/Gls-Class,5295.0,3810.0
Mercedes-Benz Gla-Class,8712.0,4533.0
Mercedes-Benz Glb,7190.0,0.0
Mercedes-Benz Glc/Glk-Class,11428.0,18715.0
Mercedes-Benz Gle-Class,10857.0,15533.0
Mercedes-Benz Metris,4999.0,3846.0
Mercedes-Benz S-Class,2447.0,2623.0
Mercedes-Benz Sl-Class,555.0,405.0
Mercedes-Benz Slc-Class,728.0,355.0
Mercedes-Benz Sprinter,10000.0,8974.0
Mini Cooper,5994.0,5616.0
Mini Countryman,2980.0,4627.0
Mitsubishi Eclipse Cross,2429.0,3268.0
Mitsubishi Lancer,0.0,0.0
Mitsubishi Mirage,5839.0,8276.0
Mitsubishi Montero Sport,0.0,4705.0
Mitsubishi Outlander,7923.0,4882.0
Mitsubishi Outlander Phev,947.0,666.0
Mitsubishi Outlander Sport,7719.0,2677.0
Nissan 370Z,509.0,601.0
Nissan Altima,28034.0,51192.0
Nissan Armada,4366.0,5896.0
Nissan Frontier,25184.0,15364.0
Nissan Gt-R,113.0,99.0
Nissan Juke,0.0,0.0
Nissan Kicks,19478.0,17811.0
Nissan Leaf,1916.0,3103.0
Nissan Maxima,3969.0,9404.0
Nissan Murano,14884.0,24376.0
Nissan Nv,3760.0,6140.0
Nissan Nv200,4774.0,4359.0
Nissan Pathfinder,10572.0,13030.0
Nissan Quest,0.0,0.0
Nissan Rogue,60436.0,97033.0
Nissan Sentra,26086.0,38251.0
Nissan Titan,7207.0,7386.0
Nissan Versa,10466.0,8433.0
Porsche 718,1084.0,1048.0
Porsche 911,1566.0,1701.0
Porsche Cayenne,4509.0,4300.0
Porsche Macan,5467.0,6480.0
Porsche Panamera,1064.0,1276.0
Porsche Taycan,1858.0,0.0
Ram Cargo Van,0.0,0.0
Ram Pickup,156156.0,161635.0
Ram Promaster,15998.0,14589.0
Ram Promaster City,3020.0,2976.0
Smart Fortwo,0.0,130.0
Subaru Ascent,18438.0,19934.0
Subaru Brz,784.0,436.0
Subaru Crosstrek,31192.0,40038.0
Subaru Forester,48222.0,45228.0
Subaru Impreza,13535.0,19605.0
Subaru Impreza Wrx,5103.0,4993.0
Subaru Legacy,8135.0,8751.0
Subaru Outback,44037.0,46819.0
Tesla Model 3,89000.0,46850.0
Tesla Model S,7500.0,3125.0
Tesla Model X,7800.0,4725.0
Tesla Model Y,35000.0,0.0
Toyota 4Runner,29399.0,32823.0
Toyota 86 / Fr-S,619.0,856.0
Toyota Avalon,5408.0,7596.0
Toyota C-Hr,12180.0,11966.0
Toyota Camry,79046.0,82448.0
Toyota Corolla,56612.0,81110.0
Toyota Fj Cruiser,0.0,0.0
Toyota Highlander,62230.0,68986.0
Toyota Land Cruiser,511.0,758.0
Toyota Mirai,132.0,286.0
Toyota Prius Family,12083.0,21017.0
Toyota Rav4,119214.0,124012.0
Toyota Sequoia,2205.0,3019.0
Toyota Sienna,11573.0,17162.0
Toyota Supra,1504.0,1477.0
Toyota Tacoma,58920.0,65756.0
Toyota Tundra,27934.0,31565.0
Toyota Venza,1668.0,7.0
Toyota Yaris,1926.0,2534.0
Volkswagen Arteon,1056.0,885.0
Volkswagen Atlas,24189.0,21979.0
Volkswagen Beetle,0.0,5348.0
Volkswagen Cc,0.0,12.0
Volkswagen Golf,4995.0,10055.0
Volkswagen Jetta,20116.0,25768.0
Volkswagen Passat,6089.0,1514.0
Volkswagen Tiguan,28069.0,27965.0
Volkswagen Touareg,0.0,21.0
Volvo 40 Series,0.0,0.0
Volvo 60-Series,5677.0,4716.0
Volvo 90-Series,1726.0,1447.0
Volvo Xc40,6060.0,4663.0
Volvo Xc60,8250.0,7605.0
Volvo Xc90,8636.0,8874.0
