,2019 Q3 Sales,2020 Q3 Sales
Land Rover Range Rover Velar,"2,701","3,687"
Lexus CT,0,0
Lexus ES,"12,775","13,916"
Lexus GS,861,840
Lexus GX,"7,261","6,405"
Lexus IS,"3,629","3,538"
Lexus LC,327,260
Lexus LFA,1,0
Lexus LS,857,"1,251"
Lexus LX,"1,062","1,024"
Lexus NX,"13,204","13,198"
Lexus RC,"1,102","1,253"
Lexus RX,"29,438","28,109"
Lexus UX,"4,768","4,022"
Lincoln Aviator,"6,118","1,900"
Lincoln Continental,"1,297","1,897"
Lincoln MKC,"7,044","6,523"
Lincoln MKS,0,0
Lincoln MKT,23,625
Lincoln MKX/Nautilus,"5,772","7,962"
Lincoln MKZ,"3,666","4,685"
Lincoln Navigator,"3,635","4,345"
Mazda 3,"8,941","11,983"
Mazda 6,"3,880","4,210"
Mazda CX-3,"2,255","4,996"
Mazda CX-30,"10,837",0
Mazda CX-5,"39,205","39,315"
Mazda CX-9,"6,961","6,671"
Mazda MX-5 Miata,"2,332","2,437"
Mercedes-Benz A-Class,"3,930","7,230"
Mercedes-Benz AMG GT,750,"1,010"
Mercedes-Benz B-Class,0,2
Mercedes-Benz C-Class,"7,215","10,837"
Mercedes-Benz CLA-Class,"2,250","1,350"
Mercedes-Benz E / CLS-Class,"6,476","9,165"
Mercedes-Benz G-Class,"1,796","1,248"
Mercedes-Benz GL/GLS-Class,"5,295","3,810"
Mercedes-Benz GLA-Class,"8,712","4,533"
Mercedes-Benz GLB,"7,190",0
Mercedes-Benz GLC/GLK-Class,"11,428","18,715"
Mercedes-Benz GLE-Class,"10,857","15,533"
Mercedes-Benz Metris,"4,999","3,846"
Mercedes-Benz S-Class,"2,447","2,623"
Mercedes-Benz SL-Class,555,405
Mercedes-Benz SLC-Class,728,355
Mercedes-Benz Sprinter,"10,000","8,974"
Mini Cooper,"5,994","5,616"
Mini Countryman,"2,980","4,627"
Mini Paceman,0,0
Mitsubishi Eclipse Cross,"2,429","3,268"
Mitsubishi Lancer,0,0
Mitsubishi Mirage,"5,839","8,276"
Mitsubishi Montero Sport,0,"4,705"
Mitsubishi Outlander,"7,923","4,882"
Mitsubishi Outlander PHEV,947,666
Mitsubishi Outlander Sport,"7,719","2,677"
Nissan 370Z,509,601
Nissan Altima,"28,034","51,192"
Nissan Armada,"4,366","5,896"
Nissan Frontier,"25,184","15,364"
Nissan GT-R,113,99
Nissan Juke,0,0
Nissan Kicks,"19,478","17,811"
Nissan Leaf,"1,916","3,103"
Nissan Maxima,"3,969","9,404"
Nissan Murano,"14,884","24,376"
Nissan NV,"3,760","6,140"
Nissan NV200,"4,774","4,359"
Nissan Pathfinder,"10,572","13,030"
Nissan Quest,0,0
Nissan Rogue,"60,436","97,033"
Nissan Sentra,"26,086","38,251"
Nissan Titan,"7,207","7,386"
Nissan Versa,"10,466","8,433"
Porsche 718,"1,084","1,048"
Porsche 911,"1,566","1,701"
Porsche Cayenne,"4,509","4,300"
Porsche Macan,"5,467","6,480"
Porsche Panamera,"1,064","1,276"
Porsche Taycan,"1,858",0
Ram Cargo Van,0,0
Ram Pickup,"156,156","161,635"
Ram ProMaster,"15,998","14,589"
Ram ProMaster City,"3,020","2,976"
Smart ForTwo,0,130
Subaru Ascent,"18,438","19,934"
Subaru BRZ,784,436
Subaru CrossTrek,"31,192","40,038"
Subaru Forester,"48,222","45,228"
Subaru Impreza,"13,535","19,605"
Subaru Impreza WRX,"5,103","4,993"
Subaru Legacy,"8,135","8,751"
Subaru Outback,"44,037","46,819"
Tesla Model 3,"89,000","46,850"
Tesla Model S,"7,500","3,125"
Tesla Model X,"7,800","4,725"
Tesla Model Y,"35,000",0
Toyota 4Runner,"29,399","32,823"
Toyota 86 / FR-S,619,856
Toyota Avalon,"5,408","7,596"
Toyota C-HR,"12,180","11,966"
Toyota Camry,"79,046","82,448"
Toyota Corolla,"56,612","81,110"
Toyota FJ Cruiser,0,0
Toyota Highlander,"62,230","68,986"
Toyota Land Cruiser,511,758
Toyota Mirai,132,286
Toyota Prius Family,"12,083","21,017"
Toyota RAV4,"119,214","124,012"
Toyota Sequoia,"2,205","3,019"
Toyota Sienna,"11,573","17,162"
Toyota Supra,"1,504","1,477"
Toyota Tacoma,"58,920","65,756"
Toyota Tundra,"27,934","31,565"
Toyota Venza,"1,668",7
Toyota Yaris,"1,926","2,534"
Volkswagen Arteon,"1,056",885
Volkswagen Atlas,"24,189","21,979"
Volkswagen Beetle,0,"5,348"
Volkswagen CC,0,12
Volkswagen Golf,"4,995","10,055"
Volkswagen Jetta,"20,116","25,768"
Volkswagen Passat,"6,089","1,514"
Volkswagen Tiguan,"28,069","27,965"
Volkswagen Touareg,0,21
Volvo 40 Series,0,0
Volvo 60-Series,"5,677","4,716"
Volvo 90-Series,"1,726","1,447"
Volvo XC40,"6,060","4,663"
Volvo XC60,"8,250","7,605"
Volvo XC90,"8,636","8,874"
